GO.ID	Term	Annotated	Significant	Expected	classicFisher
GO:0002664	regulation of T cell tolerance induction	12	11	5.85	0.00243
GO:0033632	regulation of cell-cell adhesion mediate...	12	11	5.85	0.00243
GO:0034154	toll-like receptor 7 signaling pathway	12	11	5.85	0.00243
GO:0036005	response to macrophage colony-stimulatin...	12	11	5.85	0.00243
GO:0036006	cellular response to macrophage colony-s...	12	11	5.85	0.00243
GO:0043301	negative regulation of leukocyte degranu...	12	11	5.85	0.00243
GO:0090267	positive regulation of mitotic cell cycl...	12	11	5.85	0.00243
GO:0001935	endothelial cell proliferation	169	101	82.33	0.00245
GO:0061448	connective tissue development	308	175	150.04	0.00247
GO:0051056	regulation of small GTPase mediated sign...	240	139	116.91	0.00250
GO:0010522	regulation of calcium ion transport into...	21	17	10.23	0.00252
GO:0071359	cellular response to dsRNA	21	17	10.23	0.00252
GO:0051224	negative regulation of protein transport	136	83	66.25	0.00253
GO:0061756	leukocyte adhesion to vascular endotheli...	54	37	26.31	0.00255
GO:1905475	regulation of protein localization to me...	212	124	103.27	0.00258
GO:0002090	regulation of receptor internalization	82	53	39.95	0.00262
GO:0048844	artery morphogenesis	82	53	39.95	0.00262
GO:0007005	mitochondrion organization	537	294	261.6	0.00262
GO:0050803	regulation of synapse structure or activ...	316	179	153.94	0.00265
GO:0006812	monoatomic cation transport	987	524	480.81	0.00266
GO:0060561	apoptotic process involved in morphogene...	29	22	14.13	0.00267
GO:0000122	negative regulation of transcription by ...	930	495	453.04	0.00269
GO:0050855	regulation of B cell receptor signaling ...	18	15	8.77	0.00272
GO:0000226	microtubule cytoskeleton organization	650	352	316.64	0.00272
GO:0030890	positive regulation of B cell proliferat...	49	34	23.87	0.00272
GO:0051339	regulation of lyase activity	49	34	23.87	0.00272
GO:0007076	mitotic chromosome condensation	15	13	7.31	0.00274
GO:0030213	hyaluronan biosynthetic process	15	13	7.31	0.00274
GO:0034112	positive regulation of homotypic cell-ce...	15	13	7.31	0.00274
GO:0042590	antigen processing and presentation of e...	15	13	7.31	0.00274
GO:0060700	regulation of ribonuclease activity	15	13	7.31	0.00274
GO:0072672	neutrophil extravasation	15	13	7.31	0.00274
GO:0045132	meiotic chromosome segregation	100	63	48.71	0.00276
GO:0051346	negative regulation of hydrolase activit...	284	162	138.35	0.00280
GO:0001782	B cell homeostasis	44	31	21.43	0.00286
GO:0072595	maintenance of protein localization in o...	44	31	21.43	0.00286
GO:0051952	regulation of amine transport	120	74	58.46	0.00286
GO:0048729	tissue morphogenesis	670	362	326.38	0.00289
GO:0001558	regulation of cell growth	443	245	215.8	0.00290
GO:0071900	regulation of protein serine/threonine k...	288	164	140.3	0.00292
GO:0032467	positive regulation of cytokinesis	39	28	19	0.00292
GO:0032743	positive regulation of interleukin-2 pro...	39	28	19	0.00292
GO:0051489	regulation of filopodium assembly	56	38	27.28	0.00293
GO:0007091	metaphase/anaphase transition of mitotic...	93	59	45.3	0.00294
GO:0051937	catecholamine transport	93	59	45.3	0.00294
GO:0051865	protein autoubiquitination	77	50	37.51	0.00296
GO:0030072	peptide hormone secretion	311	176	151.5	0.00302
GO:0043393	regulation of protein binding	194	114	94.51	0.00303
GO:0006469	negative regulation of protein kinase ac...	181	107	88.17	0.00306
GO:0000723	telomere maintenance	144	87	70.15	0.00306
GO:0010975	regulation of neuron projection developm...	583	317	284	0.00315
GO:0050965	detection of temperature stimulus involv...	26	20	12.67	0.00317
GO:1900037	regulation of cellular response to hypox...	26	20	12.67	0.00317
GO:2000561	regulation of CD4-positive, alpha-beta T...	26	20	12.67	0.00317
GO:0097300	programmed necrotic cell death	51	35	24.84	0.00317
GO:2000404	regulation of T cell migration	51	35	24.84	0.00317
GO:0051054	positive regulation of DNA metabolic pro...	317	179	154.42	0.00318
GO:0015711	organic anion transport	436	241	212.39	0.00324
GO:0006695	cholesterol biosynthetic process	58	39	28.25	0.00333
GO:0038066	p38MAPK cascade	58	39	28.25	0.00333
GO:1902653	secondary alcohol biosynthetic process	58	39	28.25	0.00333
GO:0006261	DNA-templated DNA replication	148	89	72.1	0.00334
GO:0030071	regulation of mitotic metaphase/anaphase...	88	56	42.87	0.00336
GO:0042058	regulation of epidermal growth factor re...	65	43	31.66	0.00338
GO:1903350	response to dopamine	46	32	22.41	0.00338
GO:0000209	protein polyubiquitination	268	153	130.55	0.00345
GO:0010951	negative regulation of endopeptidase act...	150	90	73.07	0.00348
GO:0002428	antigen processing and presentation of p...	31	23	15.1	0.00350
GO:1905523	positive regulation of macrophage migrat...	31	23	15.1	0.00350
GO:0007292	female gamete generation	176	104	85.74	0.00353
GO:0000281	mitotic cytokinesis	81	52	39.46	0.00354
GO:0032753	positive regulation of interleukin-4 pro...	41	29	19.97	0.00354
GO:0002688	regulation of leukocyte chemotaxis	128	78	62.35	0.00354
GO:0019883	antigen processing and presentation of e...	36	26	17.54	0.00360
GO:0034110	regulation of homotypic cell-cell adhesi...	36	26	17.54	0.00360
GO:0045746	negative regulation of Notch signaling p...	36	26	17.54	0.00360
GO:0072576	liver morphogenesis	36	26	17.54	0.00360
GO:0032418	lysosome localization	90	57	43.84	0.00363
GO:1990849	vacuolar localization	90	57	43.84	0.00363
GO:0051100	negative regulation of binding	152	91	74.05	0.00363
GO:0006687	glycosphingolipid metabolic process	53	36	25.82	0.00365
GO:0035088	establishment or maintenance of apical/b...	53	36	25.82	0.00365
GO:0051985	negative regulation of chromosome segreg...	53	36	25.82	0.00365
GO:0061245	establishment or maintenance of bipolar ...	53	36	25.82	0.00365
GO:0031647	regulation of protein stability	314	177	152.96	0.00369
GO:0002370	natural killer cell cytokine production	23	18	11.2	0.00370
GO:0002710	negative regulation of T cell mediated i...	23	18	11.2	0.00370
GO:0002727	regulation of natural killer cell cytoki...	23	18	11.2	0.00370
GO:0035089	establishment of apical/basal cell polar...	23	18	11.2	0.00370
GO:0060333	type II interferon-mediated signaling pa...	23	18	11.2	0.00370
GO:0090026	positive regulation of monocyte chemotax...	23	18	11.2	0.00370
GO:0141087	positive regulation of inflammasome-medi...	23	18	11.2	0.00370
GO:0007631	feeding behavior	130	79	63.33	0.00372
GO:0098742	cell-cell adhesion via plasma-membrane a...	208	121	101.33	0.00372
GO:0002762	negative regulation of myeloid leukocyte...	60	40	29.23	0.00376
GO:1900271	regulation of long-term synaptic potenti...	60	40	29.23	0.00376
GO:0090316	positive regulation of intracellular pro...	110	68	53.59	0.00381
GO:0006629	lipid metabolic process	1355	708	660.08	0.00382
GO:1903320	regulation of protein modification by sm...	244	140	118.86	0.00389
GO:0043484	regulation of RNA splicing	182	107	88.66	0.00389
GO:0070555	response to interleukin-1	92	58	44.82	0.00390
GO:1903305	regulation of regulated secretory pathwa...	156	93	75.99	0.00392
GO:0060491	regulation of cell projection assembly	212	123	103.27	0.00393
GO:0031668	cellular response to extracellular stimu...	263	150	128.12	0.00394
GO:0098586	cellular response to virus	48	33	23.38	0.00395
GO:2000772	regulation of cellular senescence	48	33	23.38	0.00395
GO:0090287	regulation of cellular response to growt...	324	182	157.83	0.00399
GO:1905039	carboxylic acid transmembrane transport	145	87	70.64	0.00402
GO:0006401	RNA catabolic process	284	161	138.35	0.00403
GO:0051053	negative regulation of DNA metabolic pro...	134	81	65.28	0.00408
GO:0001936	regulation of endothelial cell prolifera...	147	88	71.61	0.00419
GO:0009124	nucleoside monophosphate biosynthetic pr...	43	30	20.95	0.00421
GO:0021700	developmental maturation	378	210	184.14	0.00421
GO:0002883	regulation of hypersensitivity	28	21	13.64	0.00423
GO:0062098	regulation of programmed necrotic cell d...	28	21	13.64	0.00423
GO:0072567	chemokine (C-X-C motif) ligand 2 product...	28	21	13.64	0.00423
GO:2000341	regulation of chemokine (C-X-C motif) li...	28	21	13.64	0.00423
GO:2000647	negative regulation of stem cell prolife...	28	21	13.64	0.00423
GO:1901566	organonitrogen compound biosynthetic pro...	1621	841	789.66	0.00423
GO:0034504	protein localization to nucleus	332	186	161.73	0.00424
GO:0030889	negative regulation of B cell proliferat...	20	16	9.74	0.00424
GO:0033599	regulation of mammary gland epithelial c...	20	16	9.74	0.00424
GO:0070886	positive regulation of calcineurin-NFAT ...	20	16	9.74	0.00424
GO:0106058	positive regulation of calcineurin-media...	20	16	9.74	0.00424
GO:0060429	epithelium development	1259	659	613.31	0.00427
GO:1903311	regulation of mRNA metabolic process	292	165	142.25	0.00432
GO:0032535	regulation of cellular component size	409	226	199.24	0.00434
GO:0031623	receptor internalization	149	89	72.58	0.00436
GO:0042306	regulation of protein import into nucleu...	78	50	38	0.00438
GO:0045669	positive regulation of osteoblast differ...	78	50	38	0.00438
GO:0061180	mammary gland epithelium development	78	50	38	0.00438
GO:0033238	regulation of amine metabolic process	38	27	18.51	0.00438
GO:0042119	neutrophil activation	38	27	18.51	0.00438
GO:0050901	leukocyte tethering or rolling	38	27	18.51	0.00438
GO:0098703	calcium ion import across plasma membran...	38	27	18.51	0.00438
GO:1902656	calcium ion import into cytosol	38	27	18.51	0.00438
GO:0070167	regulation of biomineral tissue developm...	105	65	51.15	0.00439
GO:0001764	neuron migration	205	119	99.86	0.00440
GO:0002053	positive regulation of mesenchymal cell ...	33	24	16.08	0.00442
GO:0072539	T-helper 17 cell differentiation	33	24	16.08	0.00442
GO:0072574	hepatocyte proliferation	33	24	16.08	0.00442
GO:0072575	epithelial cell proliferation involved i...	33	24	16.08	0.00442
GO:0007507	heart development	656	353	319.56	0.00446
GO:0044784	metaphase/anaphase transition of cell cy...	96	60	46.77	0.00447
GO:1901222	regulation of non-canonical NF-kappaB si...	96	60	46.77	0.00447
GO:0030038	contractile actin filament bundle assemb...	116	71	56.51	0.00449
GO:0043149	stress fiber assembly	116	71	56.51	0.00449
GO:0051101	regulation of DNA binding	116	71	56.51	0.00449
GO:1902904	negative regulation of supramolecular fi...	177	104	86.22	0.00449
GO:0032388	positive regulation of intracellular tra...	151	90	73.56	0.00454
GO:0031667	response to nutrient levels	392	217	190.96	0.00457
GO:0001973	G protein-coupled adenosine receptor sig...	11	10	5.36	0.00460
GO:0002645	positive regulation of tolerance inducti...	11	10	5.36	0.00460
GO:0002887	negative regulation of myeloid leukocyte...	11	10	5.36	0.00460
GO:0009215	purine deoxyribonucleoside triphosphate ...	11	10	5.36	0.00460
GO:0032353	negative regulation of hormone biosynthe...	11	10	5.36	0.00460
GO:0035588	G protein-coupled purinergic receptor si...	11	10	5.36	0.00460
GO:0035709	memory T cell activation	11	10	5.36	0.00460
GO:0060056	mammary gland involution	11	10	5.36	0.00460
GO:0060159	regulation of dopamine receptor signalin...	11	10	5.36	0.00460
GO:0070672	response to interleukin-15	11	10	5.36	0.00460
GO:0071612	IP-10 production	11	10	5.36	0.00460
GO:0071658	regulation of IP-10 production	11	10	5.36	0.00460
GO:0097400	interleukin-17-mediated signaling pathwa...	11	10	5.36	0.00460
GO:0099612	protein localization to axon	11	10	5.36	0.00460
GO:2001214	positive regulation of vasculogenesis	11	10	5.36	0.00460
GO:0120032	regulation of plasma membrane bounded ce...	209	121	101.81	0.00463
GO:0016126	sterol biosynthetic process	64	42	31.18	0.00467
GO:0034142	toll-like receptor 4 signaling pathway	64	42	31.18	0.00467
GO:0051785	positive regulation of nuclear division	64	42	31.18	0.00467
GO:0010817	regulation of hormone levels	590	319	287.41	0.00468
GO:0000724	double-strand break repair via homologou...	166	98	80.87	0.00470
GO:0030214	hyaluronan catabolic process	17	14	8.28	0.00470
GO:0031053	primary miRNA processing	17	14	8.28	0.00470
GO:0120034	positive regulation of plasma membrane b...	118	72	57.48	0.00473
GO:0006310	DNA recombination	325	182	158.32	0.00474
GO:2000146	negative regulation of cell motility	325	182	158.32	0.00474
GO:0045333	cellular respiration	245	140	119.35	0.00476
GO:0051961	negative regulation of nervous system de...	181	106	88.17	0.00478
GO:0010035	response to inorganic substance	489	267	238.21	0.00479
GO:0009895	negative regulation of catabolic process	350	195	170.5	0.00480
GO:0022612	gland morphogenesis	155	92	75.51	0.00489
GO:0051099	positive regulation of binding	155	92	75.51	0.00489
GO:0007143	female meiotic nuclear division	45	31	21.92	0.00492
GO:0031018	endocrine pancreas development	45	31	21.92	0.00492
GO:1903351	cellular response to dopamine	45	31	21.92	0.00492
GO:0050807	regulation of synapse organization	308	173	150.04	0.00492
GO:0006979	response to oxidative stress	379	210	184.63	0.00493
GO:0001660	fever generation	14	12	6.82	0.00493
GO:0002517	T cell tolerance induction	14	12	6.82	0.00493
GO:0006924	activation-induced cell death of T cells	14	12	6.82	0.00493
GO:0043589	skin morphogenesis	14	12	6.82	0.00493
GO:0060368	regulation of Fc receptor mediated stimu...	14	12	6.82	0.00493
GO:2000644	regulation of receptor catabolic process	14	12	6.82	0.00493
GO:0048259	regulation of receptor-mediated endocyto...	131	79	63.82	0.00494
GO:0032890	regulation of organic acid transport	100	62	48.71	0.00506
GO:0002902	regulation of B cell apoptotic process	25	19	12.18	0.00508
GO:0061162	establishment of monopolar cell polarity	25	19	12.18	0.00508
GO:0072677	eosinophil migration	25	19	12.18	0.00508
GO:1903306	negative regulation of regulated secreto...	25	19	12.18	0.00508
GO:0000082	G1/S transition of mitotic cell cycle	217	125	105.71	0.00512
GO:0042542	response to hydrogen peroxide	91	57	44.33	0.00514
GO:0051057	positive regulation of small GTPase medi...	91	57	44.33	0.00514
GO:1902099	regulation of metaphase/anaphase transit...	91	57	44.33	0.00514
GO:0007528	neuromuscular junction development	66	43	32.15	0.00516
GO:0055086	nucleobase-containing small molecule met...	624	336	303.98	0.00517
GO:1902930	regulation of alcohol biosynthetic proce...	52	35	25.33	0.00518
GO:0035303	regulation of dephosphorylation	111	68	54.07	0.00519
GO:0009308	amine metabolic process	122	74	59.43	0.00521
GO:0016311	dephosphorylation	316	177	153.94	0.00523
GO:0010714	positive regulation of collagen metaboli...	40	28	19.49	0.00523
GO:0035025	positive regulation of Rho protein signa...	40	28	19.49	0.00523
GO:1903825	organic acid transmembrane transport	146	87	71.12	0.00524
GO:0016197	endosomal transport	276	156	134.45	0.00533
GO:0007040	lysosome organization	102	63	49.69	0.00537
GO:0036503	ERAD pathway	102	63	49.69	0.00537
GO:0080171	lytic vacuole organization	102	63	49.69	0.00537
GO:0032870	cellular response to hormone stimulus	556	301	270.85	0.00537
GO:0002476	antigen processing and presentation of e...	30	22	14.61	0.00542
GO:0002484	antigen processing and presentation of e...	30	22	14.61	0.00542
GO:0006929	substrate-dependent cell migration	30	22	14.61	0.00542
GO:0050961	detection of temperature stimulus involv...	30	22	14.61	0.00542
GO:0060402	calcium ion transport into cytosol	30	22	14.61	0.00542
GO:0002864	regulation of acute inflammatory respons...	35	25	17.05	0.00543
GO:0050878	regulation of body fluid levels	322	180	156.86	0.00546
GO:0061138	morphogenesis of a branching epithelium	223	128	108.63	0.00548
GO:0032886	regulation of microtubule-based process	261	148	127.14	0.00556
GO:0031396	regulation of protein ubiquitination	208	120	101.33	0.00560
GO:0043405	regulation of MAP kinase activity	163	96	79.4	0.00561
GO:0035315	hair cell differentiation	68	44	33.13	0.00566
GO:1903556	negative regulation of tumor necrosis fa...	68	44	33.13	0.00566
GO:0002438	acute inflammatory response to antigenic...	47	32	22.9	0.00568
GO:0010543	regulation of platelet activation	47	32	22.9	0.00568
GO:0032673	regulation of interleukin-4 production	47	32	22.9	0.00568
GO:0045197	establishment or maintenance of epitheli...	47	32	22.9	0.00568
GO:0071695	anatomical structure maturation	305	171	148.58	0.00568
GO:0033045	regulation of sister chromatid segregati...	104	64	50.66	0.00568
GO:0071621	granulocyte chemotaxis	126	76	61.38	0.00571
GO:0050714	positive regulation of protein secretion	180	105	87.69	0.00585
GO:0042307	positive regulation of protein import in...	54	36	26.31	0.00585
GO:0140374	antiviral innate immune response	54	36	26.31	0.00585
GO:0040013	negative regulation of locomotion	357	198	173.91	0.00586
GO:0045732	positive regulation of protein catabolic...	197	114	95.97	0.00597
GO:0002729	positive regulation of natural killer ce...	22	17	10.72	0.00604
GO:0043101	purine-containing compound salvage	22	17	10.72	0.00604
GO:0043374	CD8-positive, alpha-beta T cell differen...	22	17	10.72	0.00604
GO:0045623	negative regulation of T-helper cell dif...	22	17	10.72	0.00604
GO:0090050	positive regulation of cell migration in...	22	17	10.72	0.00604
GO:1900227	positive regulation of NLRP3 inflammasom...	22	17	10.72	0.00604
GO:1900744	regulation of p38MAPK cascade	42	29	20.46	0.00614
GO:0035967	cellular response to topologically incor...	97	60	47.25	0.00620
GO:0072522	purine-containing compound biosynthetic ...	235	134	114.48	0.00623
GO:0042391	regulation of membrane potential	491	267	239.19	0.00627
GO:0016239	positive regulation of macroautophagy	79	50	38.48	0.00633
GO:1905897	regulation of response to endoplasmic re...	79	50	38.48	0.00633
GO:0141091	transforming growth factor beta receptor...	346	192	168.55	0.00638
GO:0014046	dopamine secretion	49	33	23.87	0.00647
GO:0045646	regulation of erythrocyte differentiatio...	49	33	23.87	0.00647
GO:1905521	regulation of macrophage migration	49	33	23.87	0.00647
GO:0032967	positive regulation of collagen biosynth...	37	26	18.02	0.00652
GO:0045920	negative regulation of exocytosis	37	26	18.02	0.00652
GO:0051491	positive regulation of filopodium assemb...	37	26	18.02	0.00652
GO:0071402	cellular response to lipoprotein particl...	37	26	18.02	0.00652
GO:0001938	positive regulation of endothelial cell ...	99	61	48.23	0.00657
GO:0019915	lipid storage	99	61	48.23	0.00657
GO:0032069	regulation of nuclease activity	27	20	13.15	0.00663
GO:0033622	integrin activation	27	20	13.15	0.00663
GO:0046823	negative regulation of nucleocytoplasmic...	27	20	13.15	0.00663
GO:0045833	negative regulation of lipid metabolic p...	110	67	53.59	0.00665
GO:1902850	microtubule cytoskeleton organization in...	160	94	77.94	0.00669
GO:0005975	carbohydrate metabolic process	548	296	266.95	0.00670
GO:0048660	regulation of smooth muscle cell prolife...	190	110	92.56	0.00670
GO:0015695	organic cation transport	72	46	35.07	0.00672
GO:0001780	neutrophil homeostasis	32	23	15.59	0.00672
GO:0051446	positive regulation of meiotic cell cycl...	32	23	15.59	0.00672
GO:2000780	negative regulation of double-strand bre...	32	23	15.59	0.00672
GO:0046209	nitric oxide metabolic process	90	56	43.84	0.00674
GO:0009636	response to toxic substance	134	80	65.28	0.00675
GO:0030855	epithelial cell differentiation	693	370	337.59	0.00681
GO:0007626	locomotory behavior	264	149	128.61	0.00681
GO:0045927	positive regulation of growth	308	172	150.04	0.00683
GO:0048709	oligodendrocyte differentiation	123	74	59.92	0.00691
GO:0043487	regulation of RNA stability	177	103	86.22	0.00693
GO:0071482	cellular response to light stimulus	112	68	54.56	0.00698
GO:0032200	telomere organization	149	88	72.58	0.00700
GO:0018205	peptidyl-lysine modification	136	81	66.25	0.00702
GO:0030336	negative regulation of cell migration	312	174	151.99	0.00702
GO:1902692	regulation of neuroblast proliferation	65	42	31.66	0.00704
GO:0032261	purine nucleotide salvage	19	15	9.26	0.00707
GO:0035457	cellular response to interferon-alpha	19	15	9.26	0.00707
GO:0045198	establishment of epithelial cell apical/...	19	15	9.26	0.00707
GO:0050862	positive regulation of T cell receptor s...	19	15	9.26	0.00707
GO:0070243	regulation of thymocyte apoptotic proces...	19	15	9.26	0.00707
GO:0035196	miRNA processing	44	30	21.43	0.00710
GO:0038084	vascular endothelial growth factor signa...	44	30	21.43	0.00710
GO:0072659	protein localization to plasma membrane	314	175	152.96	0.00711
GO:0061013	regulation of mRNA catabolic process	179	104	87.2	0.00712
GO:0062013	positive regulation of small molecule me...	179	104	87.2	0.00712
GO:0048864	stem cell development	92	57	44.82	0.00716
GO:2001057	reactive nitrogen species metabolic proc...	92	57	44.82	0.00716
GO:0031330	negative regulation of cellular cataboli...	213	122	103.76	0.00722
GO:0007080	mitotic metaphase chromosome alignment	58	38	28.25	0.00726
GO:0051955	regulation of amino acid transport	58	38	28.25	0.00726
GO:0097352	autophagosome maturation	58	38	28.25	0.00726
GO:0033002	muscle cell proliferation	272	153	132.5	0.00728
GO:0051145	smooth muscle cell differentiation	83	52	40.43	0.00729
GO:0043392	negative regulation of DNA binding	51	34	24.84	0.00731
GO:0006937	regulation of muscle contraction	166	97	80.87	0.00734
GO:0030832	regulation of actin filament length	166	97	80.87	0.00734
GO:0062012	regulation of small molecule metabolic p...	374	206	182.19	0.00746
GO:0043330	response to exogenous dsRNA	39	27	19	0.00767
GO:0060193	positive regulation of lipase activity	39	27	19	0.00767
GO:0071425	hematopoietic stem cell proliferation	39	27	19	0.00767
GO:0031098	stress-activated protein kinase signalin...	67	43	32.64	0.00768
GO:0032720	negative regulation of tumor necrosis fa...	67	43	32.64	0.00768
GO:0050994	regulation of lipid catabolic process	67	43	32.64	0.00768
GO:0050769	positive regulation of neurogenesis	326	181	158.81	0.00768
GO:0043406	positive regulation of MAP kinase activi...	105	64	51.15	0.00770
GO:0032368	regulation of lipid transport	155	91	75.51	0.00773
GO:0048168	regulation of neuronal synaptic plastici...	76	48	37.02	0.00782
GO:0010812	negative regulation of cell-substrate ad...	60	39	29.23	0.00800
GO:0032892	positive regulation of organic acid tran...	60	39	29.23	0.00800
GO:0007200	phospholipase C-activating G protein-cou...	96	59	46.77	0.00803
GO:1901874	negative regulation of post-translationa...	96	59	46.77	0.00803
GO:0006677	glycosylceramide metabolic process	16	13	7.79	0.00807
GO:0006991	response to sterol depletion	16	13	7.79	0.00807
GO:0031650	regulation of heat generation	16	13	7.79	0.00807
GO:0032222	regulation of synaptic transmission, cho...	16	13	7.79	0.00807
GO:0032823	regulation of natural killer cell differ...	16	13	7.79	0.00807
GO:0034501	protein localization to kinetochore	16	13	7.79	0.00807
GO:0038093	Fc receptor signaling pathway	16	13	7.79	0.00807
GO:0045760	positive regulation of action potential	16	13	7.79	0.00807
GO:0051382	kinetochore assembly	16	13	7.79	0.00807
GO:0070234	positive regulation of T cell apoptotic ...	16	13	7.79	0.00807
GO:0106380	purine ribonucleotide salvage	16	13	7.79	0.00807
GO:1901722	regulation of cell proliferation involve...	16	13	7.79	0.00807
GO:1903083	protein localization to condensed chromo...	16	13	7.79	0.00807
GO:1905664	regulation of calcium ion import across ...	16	13	7.79	0.00807
GO:0000466	maturation of 5.8S rRNA from tricistroni...	24	18	11.69	0.00807
GO:0001794	type IIa hypersensitivity	24	18	11.69	0.00807
GO:0002445	type II hypersensitivity	24	18	11.69	0.00807
GO:0002885	positive regulation of hypersensitivity	24	18	11.69	0.00807
GO:0033630	positive regulation of cell adhesion med...	24	18	11.69	0.00807
GO:0035740	CD8-positive, alpha-beta T cell prolifer...	24	18	11.69	0.00807
GO:0043011	myeloid dendritic cell differentiation	24	18	11.69	0.00807
GO:0071459	protein localization to chromosome, cent...	24	18	11.69	0.00807
GO:0043434	response to peptide hormone	390	214	189.99	0.00807
GO:0043331	response to dsRNA	46	31	22.41	0.00810
GO:0048147	negative regulation of fibroblast prolif...	46	31	22.41	0.00810
GO:1901976	regulation of cell cycle checkpoint	46	31	22.41	0.00810
GO:0031281	positive regulation of cyclase activity	34	24	16.56	0.00812
GO:0051349	positive regulation of lyase activity	34	24	16.56	0.00812
GO:0051957	positive regulation of amino acid transp...	34	24	16.56	0.00812
GO:0055094	response to lipoprotein particle	34	24	16.56	0.00812
GO:0036293	response to decreased oxygen levels	244	138	118.86	0.00814
GO:0001881	receptor recycling	53	35	25.82	0.00817
GO:0002455	humoral immune response mediated by circ...	53	35	25.82	0.00817
GO:0034204	lipid translocation	53	35	25.82	0.00817
GO:0006605	protein targeting	288	161	140.3	0.00821
GO:0015980	energy derivation by oxidation of organi...	338	187	164.65	0.00825
GO:0034109	homotypic cell-cell adhesion	87	54	42.38	0.00828
GO:0002486	antigen processing and presentation of e...	29	21	14.13	0.00832
GO:0031664	regulation of lipopolysaccharide-mediate...	29	21	14.13	0.00832
GO:0045061	thymic T cell selection	29	21	14.13	0.00832
GO:0050996	positive regulation of lipid catabolic p...	29	21	14.13	0.00832
GO:0051984	positive regulation of chromosome segreg...	29	21	14.13	0.00832
GO:0061437	renal system vasculature development	29	21	14.13	0.00832
GO:0061440	kidney vasculature development	29	21	14.13	0.00832
GO:1903861	positive regulation of dendrite extensio...	29	21	14.13	0.00832
GO:1990000	amyloid fibril formation	29	21	14.13	0.00832
GO:0048762	mesenchymal cell differentiation	248	140	120.81	0.00842
GO:0043488	regulation of mRNA stability	161	94	78.43	0.00847
GO:0010498	proteasomal protein catabolic process	511	276	248.93	0.00862
GO:0043524	negative regulation of neuron apoptotic ...	212	121	103.27	0.00863
GO:0002315	marginal zone B cell differentiation	10	9	4.87	0.00866
GO:0002419	T cell mediated cytotoxicity directed ag...	10	9	4.87	0.00866
GO:0002725	negative regulation of T cell cytokine p...	10	9	4.87	0.00866
GO:0009157	deoxyribonucleoside monophosphate biosyn...	10	9	4.87	0.00866
GO:0032000	positive regulation of fatty acid beta-o...	10	9	4.87	0.00866
GO:0043320	natural killer cell degranulation	10	9	4.87	0.00866
GO:0060613	fat pad development	10	9	4.87	0.00866
GO:0071659	negative regulation of IP-10 production	10	9	4.87	0.00866
GO:1903265	positive regulation of tumor necrosis fa...	10	9	4.87	0.00866
GO:2000567	regulation of memory T cell activation	10	9	4.87	0.00866
GO:2000568	positive regulation of memory T cell act...	10	9	4.87	0.00866
GO:2000646	positive regulation of receptor cataboli...	10	9	4.87	0.00866
GO:0008064	regulation of actin polymerization or de...	163	95	79.4	0.00871
GO:0002397	MHC class I protein complex assembly	13	11	6.33	0.00878
GO:0002423	natural killer cell mediated immune resp...	13	11	6.33	0.00878
GO:0002468	dendritic cell antigen processing and pr...	13	11	6.33	0.00878
GO:0002502	peptide antigen assembly with MHC class ...	13	11	6.33	0.00878
GO:0014052	regulation of gamma-aminobutyric acid se...	13	11	6.33	0.00878
GO:0072110	glomerular mesangial cell proliferation	13	11	6.33	0.00878
GO:0090557	establishment of endothelial intestinal ...	13	11	6.33	0.00878
GO:1902902	negative regulation of autophagosome ass...	13	11	6.33	0.00878
GO:1990144	intrinsic apoptotic signaling pathway in...	13	11	6.33	0.00878
GO:0007034	vacuolar transport	165	96	80.38	0.00896
GO:0050829	defense response to Gram-negative bacter...	80	50	38.97	0.00898
GO:0008286	insulin receptor signaling pathway	137	81	66.74	0.00905
GO:0002042	cell migration involved in sprouting ang...	55	36	26.79	0.00906
GO:0060191	regulation of lipase activity	55	36	26.79	0.00906
GO:0001501	skeletal system development	531	286	258.67	0.00913
GO:0045910	negative regulation of DNA recombination	48	32	23.38	0.00914
GO:1902041	regulation of extrinsic apoptotic signal...	48	32	23.38	0.00914
GO:0046488	phosphatidylinositol metabolic process	152	89	74.05	0.00921
GO:0031640	killing of cells of another organism	91	56	44.33	0.00930
GO:0045638	negative regulation of myeloid cell diff...	91	56	44.33	0.00930
GO:0051881	regulation of mitochondrial membrane pot...	91	56	44.33	0.00930
GO:0141061	disruption of cell in another organism	91	56	44.33	0.00930
GO:0009165	nucleotide biosynthetic process	262	147	127.63	0.00943
GO:0030041	actin filament polymerization	169	98	82.33	0.00946
GO:0032271	regulation of protein polymerization	203	116	98.89	0.00950
GO:0030808	regulation of nucleotide biosynthetic pr...	36	25	17.54	0.00959
GO:1900078	positive regulation of cellular response...	36	25	17.54	0.00959
GO:1900371	regulation of purine nucleotide biosynth...	36	25	17.54	0.00959
GO:0007260	tyrosine phosphorylation of STAT protein	73	46	35.56	0.00967
GO:0099565	chemical synaptic transmission, postsyna...	115	69	56.02	0.00968
GO:0000725	recombinational repair	171	99	83.3	0.00971
GO:0001796	regulation of type IIa hypersensitivity	21	16	10.23	0.00976
GO:0001798	positive regulation of type IIa hypersen...	21	16	10.23	0.00976
GO:0001946	lymphangiogenesis	21	16	10.23	0.00976
GO:0002892	regulation of type II hypersensitivity	21	16	10.23	0.00976
GO:0002894	positive regulation of type II hypersens...	21	16	10.23	0.00976
GO:0003323	type B pancreatic cell development	21	16	10.23	0.00976
